ID_Magsasaka,Bayan,Uri_ng_Lupa,Panahon,Taon,Petsa_ng_Pagtatanim,Petsa_ng_Pag_aani,Uri_ng_Palay,Sukat_ng_Bukid_Ektarya,Inaasahang_Ani_Sako,Aktwal_na_Ani_Sako,Kilos_kada_Sako,Kabuuang_Kilos,Presyo_kada_Kilo,Kabuuang_Kita,Tagal_ng_Paglago_Araw,Kabuuang_Ulan_mm,Temperatura_Celsius,Antas_ng_Tagumpay,Mga_Hamon,Mga_Rekomendasyon,Total_Inaasahang_Kilo,Aktwal_Nabentang_Kilo,Total_Inaasahang_Kita,Aktwal_Nabentang_Kita,Planting_Month,Planting_Day,Reaping_Month,Reaping_Day,Planting_Typhoon_Risk,Reaping_Typhoon_Risk,Typhoon_Risk,Uri_ng_Palay_Freq,Bayan_Freq,Uri_ng_Lupa_Freq,Reduction_Percentage
Cab000,Cabanatuan,Buhanging Lupa,Tag-ulan,2019,2019-06-27,2019-10-08,NSIC Rc222,4.66,391.44,391.44,60,4450.08,17.34,77164.47,103,324.84,27.7,7.6,Wala,Wala,23486.4,4440.0,6787.5696,1283.16,6,27,10,8,1,1,1,952,852,1539,0.0
Cab001,Cabanatuan,Mabuhanging Burak,Tag-ulan,2019,2019-05-17,2019-08-30,NSIC Rc222,3.98,334.32,320.2973911427537,60,4626.96,17.34,80231.5,105,332.38,31.0,7.4,Wala,Wala,17050.32,4620.0,4927.542479999999,1335.18,5,17,8,30,0,1,1,952,852,1500,0.04194367329877435
Cab002,Cabanatuan,Banlik,Tag-ulan,2019,2019-05-02,2019-08-17,NSIC Rc222,1.49,125.16,116.26252604947815,60,3237.19,17.34,56132.84,107,288.29,27.5,8.6,Mababang Ani,Pagsusuri ng lupa at pagpapatupad ng mga bagong teknik,6007.68,3240.0,1736.2195199999999,936.36,5,2,8,17,0,1,1,952,852,1501,0.07108879794280797
Cab003,Cabanatuan,Banlik,Tag-ulan,2019,2019-06-12,2019-09-27,NSIC Rc222,4.37,367.08,367.08,60,4956.01,17.34,85937.14,107,378.96,29.5,8.2,Wala,Wala,22024.8,4980.0,6365.1672,1439.22,6,12,9,27,1,1,1,952,852,1501,0.0
Cab004,Cabanatuan,Mabuhanging Burak,Tag-ulan,2019,2019-05-15,2019-09-03,NSIC Rc216,4.48,376.32000000000005,370.54717638036465,60,3857.81,17.34,66894.43,111,276.53,29.1,9.5,Wala,Wala,18063.36,3840.0,5220.3110400000005,1109.76,5,15,9,3,0,1,1,957,852,1500,0.015340198819184133
Cab005,Cabanatuan,Burak,Tag-ulan,2019,2019-06-18,2019-10-04,NSIC Rc402,3.05,256.2,240.68242225128236,60,4198.81,17.34,72807.36,108,276.83,27.1,8.9,Wala,Wala,12297.6,4200.0,3554.0064,1213.8,6,18,10,4,1,1,1,994,852,1548,0.06056821915970964
Cab006,Cabanatuan,Malagkit na Lupa,Tag-ulan,2019,2019-05-26,2019-09-18,NSIC Rc222,2.54,213.36,211.9190623835066,60,4607.33,17.34,79891.07,115,312.1,24.2,8.5,Wala,Wala,10881.36,4620.0,3144.71304,1335.18,5,26,9,18,0,1,1,952,852,1511,0.006753550883452448
Cab007,Cabanatuan,Burak,Tag-ulan,2019,2019-06-23,2019-10-11,NSIC Rc402,1.87,157.08,150.9608711892905,60,3289.61,17.34,57041.84,110,213.75,26.9,9.1,Mababang Ani,Pagsusuri ng lupa at pagpapatupad ng mga bagong teknik,7539.840000000001,3300.0,2179.0137600000003,953.7,6,23,10,11,1,1,1,994,852,1548,0.038955492810730435
Cab008,Cabanatuan,Burak,Tag-ulan,2019,2019-05-05,2019-08-27,PSB Rc82,3.23,271.32,237.33817615079488,60,4209.08,17.34,72985.5,114,249.36,28.6,9.8,Wala,Wala,13023.36,4200.0,3763.75104,1213.8,5,5,8,27,0,1,1,948,852,1548,0.12524629164530857
Cab009,Cabanatuan,Banlik,Tag-ulan,2019,2019-06-14,2019-10-08,NSIC Rc216,4.23,355.32000000000005,333.29822792805913,60,4495.34,17.34,77949.14,116,254.6,25.2,9.1,Wala,Wala,17055.36,4500.0,4928.999040000001,1300.5,6,14,10,8,1,1,1,957,852,1501,0.06197729390954884
Cab010,Cabanatuan,Buhanging Lupa,Tag-ulan,2019,2019-06-19,2019-10-17,NSIC Rc402,3.43,288.12,288.12,60,5465.11,17.34,94765.01,120,373.28,27.5,8.5,Wala,Wala,18151.56,5460.0,5245.80084,1577.94,6,19,10,17,1,1,1,994,852,1539,0.0
Cab011,Cabanatuan,Mabuhanging Burak,Tag-ulan,2019,2019-05-02,2019-08-19,PSB Rc82,4.56,383.03999999999996,383.03999999999996,60,4515.76,17.34,78303.21,109,303.38,25.2,8.0,Mababang Ani,Pagsusuri ng lupa at pagpapatupad ng mga bagong teknik,22982.399999999998,4500.0,6641.913599999999,1300.5,5,2,8,19,0,1,1,948,852,1500,0.0
Cab012,Cabanatuan,Burak,Tag-ulan,2019,2019-05-27,2019-09-12,PSB Rc82,1.37,115.08000000000001,111.25592029986035,60,4733.1,17.34,82071.99,108,272.78,28.2,8.7,Wala,Wala,5523.840000000001,4740.0,1596.3897600000003,1369.86,5,27,9,12,0,1,1,948,852,1548,0.03322975060948607
Cab013,Cabanatuan,Mabuhanging Burak,Tag-ulan,2019,2019-06-20,2019-10-02,NSIC Rc402,1.08,90.72,86.68917377341582,60,3545.84,17.34,61484.78,104,242.45,28.8,8.0,Mababang Ani,Pagsusuri ng lupa at pagpapatupad ng mga bagong teknik,4354.56,3540.0,1258.46784,1023.06,6,20,10,2,1,1,1,994,852,1500,0.04443150602495792
Cab014,Cabanatuan,Malagkit na Lupa,Tag-ulan,2019,2019-06-24,2019-10-10,NSIC Rc402,4.6,386.4,340.60804655369213,60,4245.15,17.34,73610.95,108,269.97,27.4,8.9,Wala,Wala,18547.2,4260.0,5360.1408,1231.14,6,24,10,10,1,1,1,994,852,1511,0.11850919628961656
Cab015,Cabanatuan,Burak,Tag-ulan,2019,2019-05-13,2019-08-22,PSB Rc82,4.91,412.44,309.5218509181406,60,3722.34,17.34,64545.32,101,269.91,31.7,7.4,Wala,Wala,16827.552,3720.0,4863.162528,1075.08,5,13,8,22,0,1,1,948,852,1548,0.2495348392053617
Cab016,Cabanatuan,Mabuhanging Burak,Tag-ulan,2019,2019-06-15,2019-10-07,NSIC Rc222,3.23,271.32,249.39150638003215,60,4172.06,17.34,72343.48,114,299.33,25.9,9.3,Wala,Wala,13023.36,4200.0,3763.75104,1213.8,6,15,10,7,1,1,1,952,852,1500,0.08082151562718493
