Petsa,Bayan,Barangay,Sukat_ng_Bukid_Ektarya,Uri_ng_Palay,Petsa_ng_Pagtatanim,Yugto_ng_Palay,Inaasahang_Ani_Tonelada,Totoong_Ani_Tonelada,Sanhi_ng_Pinsala,Porsyento_ng_Pinsala,Pinagkukunan_ng_Tubig,Uri_ng_Lupa,Dami_ng_Abono_Kilo,Gumamit_ng_Pestisidyo,Kondisyon_ng_Panahon,Datos_ng_Bagyo
2021-02-18,Peñaranda,Santo Tomas,3.42,NSIC Rc402,2020-11-05,Paghinog,5.5,4.84,Wala,12,UPRIIS - Distrito 3,Banlik,154,Oo,"{'dami_ng_ulan_mm': 169, 'pinakamataas_na_temp': 31, 'pinakamababang_temp': 25, 'halumigmig': 82}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2023-02-05,San Jose,Malasin,4.31,NSIC Rc402,2022-10-09,Pamumulaklak,5.7,5.24,Wala,8,UPRIIS - Distrito 3,Buhanging Lupa,167,Hindi,"{'dami_ng_ulan_mm': 186, 'pinakamataas_na_temp': 31, 'pinakamababang_temp': 23, 'halumigmig': 73}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2021-09-15,Science City of Muñoz,Centro,1.81,NSIC Rc402,2021-06-15,Pamumulaklak,4.37,2.4,Lannie,45,UPRIIS - Distrito 1,Banlik,146,Hindi,"{'dami_ng_ulan_mm': 360, 'pinakamataas_na_temp': 30, 'pinakamababang_temp': 26, 'halumigmig': 85}","{'pangalan': 'Lannie', 'lakas_ng_hangin': 90, 'ulan': 220, 'tagal': 54}"
2023-12-02,Talavera,Esguerra,2.02,NSIC Rc354,2023-08-19,Pamumulaklak,5.07,5.02,Wala,1,Maliit na Sistema ng Irigasyon,Burak,124,Oo,"{'dami_ng_ulan_mm': 277, 'pinakamataas_na_temp': 34, 'pinakamababang_temp': 23, 'halumigmig': 76}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2022-04-23,Guimba,Macamias,3.84,NSIC Rc402,2022-01-10,Pamumulaklak,5.66,5.38,Wala,5,UPRIIS - Distrito 1,Burak,180,Hindi,"{'dami_ng_ulan_mm': 203, 'pinakamataas_na_temp': 35, 'pinakamababang_temp': 26, 'halumigmig': 66}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2022-01-11,Aliaga,Bibiclat,1.96,NSIC Rc354,2021-09-18,Paghinog,5.74,5.4,Wala,6,UPRIIS - Distrito 3,Mabuhanging Burak,127,Hindi,"{'dami_ng_ulan_mm': 331, 'pinakamataas_na_temp': 30, 'pinakamababang_temp': 25, 'halumigmig': 77}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2021-06-23,Cabanatuan,Aduas,3.99,NSIC Rc216,2021-03-25,Pamumulaklak,5.69,3.02,Jolina,47,Tubig-ulan,Malagkit na Lupa,105,Hindi,"{'dami_ng_ulan_mm': 262, 'pinakamataas_na_temp': 32, 'pinakamababang_temp': 25, 'halumigmig': 83}","{'pangalan': 'Jolina', 'lakas_ng_hangin': 100, 'ulan': 280, 'tagal': 26}"
2022-05-19,Talavera,Bagong Sikat,2.04,NSIC Rc402,2022-02-10,Paghinog,5.97,5.13,Wala,14,Maliit na Sistema ng Irigasyon,Mabuhanging Burak,100,Hindi,"{'dami_ng_ulan_mm': 128, 'pinakamataas_na_temp': 33, 'pinakamababang_temp': 24, 'halumigmig': 85}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2023-08-20,Gapan,Makabaclay,4.08,NSIC Rc160,2023-04-30,Paghinog,4.8,1.34,Falcon,72,UPRIIS - Distrito 2,Buhanging Lupa,163,Hindi,"{'dami_ng_ulan_mm': 269, 'pinakamataas_na_temp': 31, 'pinakamababang_temp': 24, 'halumigmig': 73}","{'pangalan': 'Falcon', 'lakas_ng_hangin': 140, 'ulan': 400, 'tagal': 52}"
2022-09-14,Guimba,Macamias,0.69,NSIC Rc222,2022-05-28,Pamumulaklak,5.92,1.48,Inday,75,UPRIIS - Distrito 1,Banlik,120,Oo,"{'dami_ng_ulan_mm': 271, 'pinakamataas_na_temp': 35, 'pinakamababang_temp': 26, 'halumigmig': 70}","{'pangalan': 'Inday', 'lakas_ng_hangin': 130, 'ulan': 450, 'tagal': 36}"
2022-05-22,Aliaga,San Pablo,0.63,NSIC Rc222,2022-01-29,Paghinog,4.99,4.69,Wala,6,UPRIIS - Distrito 1,Mabuhanging Burak,159,Oo,"{'dami_ng_ulan_mm': 377, 'pinakamataas_na_temp': 34, 'pinakamababang_temp': 26, 'halumigmig': 76}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2023-10-25,Gapan,Bulak,1.34,NSIC Rc354,2023-07-01,Paghinog,4.88,4.29,Wala,12,UPRIIS - Distrito 4,Banlik,109,Oo,"{'dami_ng_ulan_mm': 187, 'pinakamataas_na_temp': 33, 'pinakamababang_temp': 24, 'halumigmig': 79}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2022-07-21,Science City of Muñoz,Rizal,3.38,NSIC Rc160,2022-04-22,Paghinog,5.39,3.02,Henry,44,UPRIIS - Distrito 3,Burak,129,Hindi,"{'dami_ng_ulan_mm': 316, 'pinakamataas_na_temp': 34, 'pinakamababang_temp': 23, 'halumigmig': 81}","{'pangalan': 'Henry', 'lakas_ng_hangin': 110, 'ulan': 350, 'tagal': 72}"
