ID_Magsasaka,Bayan,Uri_ng_Lupa,Panahon,Taon,Petsa_ng_Pagtatanim,Petsa_ng_Pag_aani,Uri_ng_Palay,Sukat_ng_Bukid_Ektarya,Inaasahang_Ani_Sako,Aktwal_na_Ani_Sako,Kilos_kada_Sako,Kabuuang_Kilos,Presyo_kada_Kilo,Kabuuang_Kita,Tagal_ng_Paglago_Araw,Kabuuang_Ulan_mm,Temperatura_Celsius,Antas_ng_Tagumpay,Mga_Hamon,Mga_Rekomendasyon
Cab000,Cabanatuan,Buhanging Lupa,Tag-ulan,2019,2019-06-27,2019-10-08,NSIC Rc222,4.66,87.0,74.0,60,4450.08,17.34,77164.47,103,324.84,27.7,7.6,Wala,Wala
Cab001,Cabanatuan,Mabuhanging Burak,Tag-ulan,2019,2019-05-17,2019-08-30,NSIC Rc222,3.98,95.0,77.0,60,4626.96,17.34,80231.5,105,332.38,31.0,7.4,Wala,Wala
Cab002,Cabanatuan,Banlik,Tag-ulan,2019,2019-05-02,2019-08-17,NSIC Rc222,1.49,68.0,54.0,60,3237.19,17.34,56132.84,107,288.29,27.5,8.6,Mababang Ani,Pagsusuri ng lupa at pagpapatupad ng mga bagong teknik
Cab003,Cabanatuan,Banlik,Tag-ulan,2019,2019-06-12,2019-09-27,NSIC Rc222,4.37,98.0,83.0,60,4956.01,17.34,85937.14,107,378.96,29.5,8.2,Wala,Wala
Cab004,Cabanatuan,Mabuhanging Burak,Tag-ulan,2019,2019-05-15,2019-09-03,NSIC Rc216,4.48,74.0,64.0,60,3857.81,17.34,66894.43,111,276.53,29.1,9.5,Wala,Wala
Cab005,Cabanatuan,Burak,Tag-ulan,2019,2019-06-18,2019-10-04,NSIC Rc402,3.05,80.0,70.0,60,4198.81,17.34,72807.36,108,276.83,27.1,8.9,Wala,Wala
Cab006,Cabanatuan,Malagkit na Lupa,Tag-ulan,2019,2019-05-26,2019-09-18,NSIC Rc222,2.54,83.0,77.0,60,4607.33,17.34,79891.07,115,312.1,24.2,8.5,Wala,Wala
Cab007,Cabanatuan,Burak,Tag-ulan,2019,2019-06-23,2019-10-11,NSIC Rc402,1.87,70.0,55.0,60,3289.61,17.34,57041.84,110,213.75,26.9,9.1,Mababang Ani,Pagsusuri ng lupa at pagpapatupad ng mga bagong teknik
Cab008,Cabanatuan,Burak,Tag-ulan,2019,2019-05-05,2019-08-27,PSB Rc82,3.23,75.0,70.0,60,4209.08,17.34,72985.5,114,249.36,28.6,9.8,Wala,Wala
Cab009,Cabanatuan,Banlik,Tag-ulan,2019,2019-06-14,2019-10-08,NSIC Rc216,4.23,81.0,75.0,60,4495.34,17.34,77949.14,116,254.6,25.2,9.1,Wala,Wala
Cab010,Cabanatuan,Buhanging Lupa,Tag-ulan,2019,2019-06-19,2019-10-17,NSIC Rc402,3.43,99.0,91.0,60,5465.11,17.34,94765.01,120,373.28,27.5,8.5,Wala,Wala
Cab011,Cabanatuan,Mabuhanging Burak,Tag-ulan,2019,2019-05-02,2019-08-19,PSB Rc82,4.56,94.0,75.0,60,4515.76,17.34,78303.21,109,303.38,25.2,8.0,Mababang Ani,Pagsusuri ng lupa at pagpapatupad ng mga bagong teknik
Cab012,Cabanatuan,Burak,Tag-ulan,2019,2019-05-27,2019-09-12,PSB Rc82,1.37,96.0,79.0,60,4733.1,17.34,82071.99,108,272.78,28.2,8.7,Wala,Wala
Cab013,Cabanatuan,Mabuhanging Burak,Tag-ulan,2019,2019-06-20,2019-10-02,NSIC Rc402,1.08,75.0,59.0,60,3545.84,17.34,61484.78,104,242.45,28.8,8.0,Mababang Ani,Pagsusuri ng lupa at pagpapatupad ng mga bagong teknik
Cab014,Cabanatuan,Malagkit na Lupa,Tag-ulan,2019,2019-06-24,2019-10-10,NSIC Rc402,4.6,80.0,71.0,60,4245.15,17.34,73610.95,108,269.97,27.4,8.9,Wala,Wala
Cab015,Cabanatuan,Burak,Tag-ulan,2019,2019-05-13,2019-08-22,PSB Rc82,4.91,77.0,62.0,60,3722.34,17.34,64545.32,101,269.91,31.7,7.4,Wala,Wala
Cab016,Cabanatuan,Mabuhanging Burak,Tag-ulan,2019,2019-06-15,2019-10-07,NSIC Rc222,3.23,85.0,70.0,60,4172.06,17.34,72343.48,114,299.33,25.9,9.3,Wala,Wala
Cab017,Cabanatuan,Buhanging Lupa,Tag-ulan,2019,2019-05-18,2019-08-26,NSIC Rc216,1.23,82.0,72.0,60,4340.37,17.34,75261.98,100,341.13,25.6,7.7,Wala,Wala
Cab018,Cabanatuan,Malagkit na Lupa,Tag-ulan,2019,2019-05-23,2019-09-20,NSIC Rc222,2.09,77.0,62.0,60,3714.81,17.34,64414.88,120,310.44,24.1,7.4,Wala,Wala
Cab019,Cabanatuan,Banlik,Tag-ulan,2019,2019-05-09,2019-08-21,NSIC Rc216,4.48,97.0,85.0,60,5073.6,17.34,87976.29,104,233.59,28.4,8.3,Wala,Wala
Cab020,Cabanatuan,Banlik,Tag-ulan,2019,2019-06-22,2019-10-05,PSB Rc82,3.22,75.0,69.0,60,4140.12,17.34,71789.73,105,336.92,28.3,8.5,Wala,Wala
