ID_Magsasaka,Bayan,Uri_ng_Lupa,Panahon,Taon,Petsa_ng_Pagtatanim,Petsa_ng_Pag_aani,Uri_ng_Palay,Sukat_ng_Bukid_Ektarya,Inaasahang_Ani_Sako,Aktwal_na_Ani_Sako,Kilos_kada_Sako,Kabuuang_Kilos,Presyo_kada_Kilo,Kabuuang_Kita,Tagal_ng_Paglago_Araw,Kabuuang_Ulan_mm,Temperatura_Celsius,Antas_ng_Tagumpay,Mga_Hamon,Mga_Rekomendasyon,Total_Inaasahang_Kilo,Aktwal_Nabentang_Kilo,Total_Inaasahang_Kita,Aktwal_Nabentang_Kita,Planting_Month,Planting_Day,Reaping_Month,Reaping_Day,Planting_Typhoon_Risk,Reaping_Typhoon_Risk,Typhoon_Risk,Uri_ng_Palay_Freq,Bayan_Freq,Uri_ng_Lupa_Freq
Cab000,Cabanatuan,Buhanging Lupa,Tag-ulan,2019,27/6/2019,8/10/2019,NSIC Rc222,4.66,391.44,74,60,4450.08,17.34,77164.47,103,324.84,27.7,7.6,Wala,Wala,23486.4,4440,6787.5696,1283.16,6,27,10,8,1,1,1,952,852,1539
Cab001,Cabanatuan,Mabuhanging Burak,Tag-ulan,2019,17/5/2019,30/8/2019,NSIC Rc222,3.98,334.32,77,60,4626.96,17.34,80231.5,105,332.38,31,7.4,Wala,Wala,20059.2,4620,5797.1088,1335.18,5,17,8,30,0,1,1,952,852,1500
Cab002,Cabanatuan,Banlik,Tag-ulan,2019,2/5/2019,17/8/2019,NSIC Rc222,1.49,125.16,54,60,3237.19,17.34,56132.84,107,288.29,27.5,8.6,Mababang Ani,Pagsusuri ng lupa at pagpapatupad ng mga bagong teknik,7509.6,3240,2170.2744,936.36,5,2,8,17,0,1,1,952,852,1501
Cab003,Cabanatuan,Banlik,Tag-ulan,2019,12/6/2019,27/9/2019,NSIC Rc222,4.37,367.08,83,60,4956.01,17.34,85937.14,107,378.96,29.5,8.2,Wala,Wala,22024.8,4980,6365.1672,1439.22,6,12,9,27,1,1,1,952,852,1501
Cab004,Cabanatuan,Mabuhanging Burak,Tag-ulan,2019,15/5/2019,3/9/2019,NSIC Rc216,4.48,376.32,64,60,3857.81,17.34,66894.43,111,276.53,29.1,9.5,Wala,Wala,22579.2,3840,6525.3888,1109.76,5,15,9,3,0,1,1,957,852,1500
Cab005,Cabanatuan,Burak,Tag-ulan,2019,18/6/2019,4/10/2019,NSIC Rc402,3.05,256.2,70,60,4198.81,17.34,72807.36,108,276.83,27.1,8.9,Wala,Wala,15372,4200,4442.508,1213.8,6,18,10,4,1,1,1,994,852,1548
Cab006,Cabanatuan,Malagkit na Lupa,Tag-ulan,2019,26/5/2019,18/9/2019,NSIC Rc222,2.54,213.36,77,60,4607.33,17.34,79891.07,115,312.1,24.2,8.5,Wala,Wala,12801.6,4620,3699.6624,1335.18,5,26,9,18,0,1,1,952,852,1511
Cab007,Cabanatuan,Burak,Tag-ulan,2019,23/6/2019,11/10/2019,NSIC Rc402,1.87,157.08,55,60,3289.61,17.34,57041.84,110,213.75,26.9,9.1,Mababang Ani,Pagsusuri ng lupa at pagpapatupad ng mga bagong teknik,9424.8,3300,2723.7672,953.7,6,23,10,11,1,1,1,994,852,1548
Cab008,Cabanatuan,Burak,Tag-ulan,2019,5/5/2019,27/8/2019,PSB Rc82,3.23,271.32,70,60,4209.08,17.34,72985.5,114,249.36,28.6,9.8,Wala,Wala,16279.2,4200,4704.6888,1213.8,5,5,8,27,0,1,1,948,852,1548
Cab009,Cabanatuan,Banlik,Tag-ulan,2019,14/6/2019,8/10/2019,NSIC Rc216,4.23,355.32,75,60,4495.34,17.34,77949.14,116,254.6,25.2,9.1,Wala,Wala,21319.2,4500,6161.2488,1300.5,6,14,10,8,1,1,1,957,852,1501
Cab010,Cabanatuan,Buhanging Lupa,Tag-ulan,2019,19/6/2019,17/10/2019,NSIC Rc402,3.43,288.12,91,60,5465.11,17.34,94765.01,120,373.28,27.5,8.5,Wala,Wala,17287.2,5460,4996.0008,1577.94,6,19,10,17,1,1,1,994,852,1539
Cab011,Cabanatuan,Mabuhanging Burak,Tag-ulan,2019,2/5/2019,19/8/2019,PSB Rc82,4.56,383.04,75,60,4515.76,17.34,78303.21,109,303.38,25.2,8,Mababang Ani,Pagsusuri ng lupa at pagpapatupad ng mga bagong teknik,22982.4,4500,6641.9136,1300.5,5,2,8,19,0,1,1,948,852,1500
Cab012,Cabanatuan,Burak,Tag-ulan,2019,27/5/2019,12/9/2019,PSB Rc82,1.37,115.08,79,60,4733.1,17.34,82071.99,108,272.78,28.2,8.7,Wala,Wala,6904.8,4740,1995.4872,1369.86,5,27,9,12,0,1,1,948,852,1548
Cab013,Cabanatuan,Mabuhanging Burak,Tag-ulan,2019,20/6/2019,2/10/2019,NSIC Rc402,1.08,90.72,59,60,3545.84,17.34,61484.78,104,242.45,28.8,8,Mababang Ani,Pagsusuri ng lupa at pagpapatupad ng mga bagong teknik,5443.2,3540,1573.0848,1023.06,6,20,10,2,1,1,1,994,852,1500
Cab014,Cabanatuan,Malagkit na Lupa,Tag-ulan,2019,24/6/2019,10/10/2019,NSIC Rc402,4.6,386.4,71,60,4245.15,17.34,73610.95,108,269.97,27.4,8.9,Wala,Wala,23184,4260,6700.176,1231.14,6,24,10,10,1,1,1,994,852,1511
Cab015,Cabanatuan,Burak,Tag-ulan,2019,13/5/2019,22/8/2019,PSB Rc82,4.91,412.44,62,60,3722.34,17.34,64545.32,101,269.91,31.7,7.4,Wala,Wala,24746.4,3720,7151.7096,1075.08,5,13,8,22,0,1,1,948,852,1548
Cab016,Cabanatuan,Mabuhanging Burak,Tag-ulan,2019,15/6/2019,7/10/2019,NSIC Rc222,3.23,271.32,70,60,4172.06,17.34,72343.48,114,299.33,25.9,9.3,Wala,Wala,16279.2,4200,4704.6888,1213.8,6,15,10,7,1,1,1,952,852,1500
Cab017,Cabanatuan,Buhanging Lupa,Tag-ulan,2019,18/5/2019,26/8/2019,NSIC Rc216,1.23,103.32,72,60,4340.37,17.34,75261.98,100,341.13,25.6,7.7,Wala,Wala,6199.2,4320,1791.5688,1248.48,5,18,8,26,0,1,1,957,852,1539
Cab018,Cabanatuan,Malagkit na Lupa,Tag-ulan,2019,23/5/2019,20/9/2019,NSIC Rc222,2.09,175.56,62,60,3714.81,17.34,64414.88,120,310.44,24.1,7.4,Wala,Wala,10533.6,3720,3044.2104,1075.08,5,23,9,20,0,1,1,952,852,1511
Cab019,Cabanatuan,Banlik,Tag-ulan,2019,9/5/2019,21/8/2019,NSIC Rc216,4.48,376.32,85,60,5073.6,17.34,87976.29,104,233.59,28.4,8.3,Wala,Wala,22579.2,5100,6525.3888,1473.9,5,9,8,21,0,1,1,957,852,1501
Cab020,Cabanatuan,Banlik,Tag-ulan,2019,22/6/2019,5/10/2019,PSB Rc82,3.22,270.48,69,60,4140.12,17.34,71789.73,105,336.92,28.3,8.5,Wala,Wala,16228.8,4140,4690.1232,1196.46,6,22,10,5,1,1,1,948,852,1501
Cab021,Cabanatuan,Burak,Tag-ulan,2019,7/5/2019,24/8/2019,NSIC Rc402,4,336,60,60,3614.62,17.34,62677.58,109,294.22,27.4,8.7,Wala,Wala,20160,3600,5826.24,1040.4,5,7,8,24,0,1,1,994,852,1548
Cab022,Cabanatuan,Banlik,Tag-ulan,2019,6/6/2019,27/9/2019,PSB Rc82,4.61,387.24,70,60,4190.56,17.34,72664.26,113,226.07,26.6,9.4,Wala,Wala,23234.4,4200,6714.7416,1213.8,6,6,9,27,1,1,1,948,852,1501
Cab023,Cabanatuan,Buhanging Lupa,Tag-ulan,2019,19/6/2019,5/10/2019,NSIC Rc402,1.56,131.04,78,60,4685.9,17.34,81253.43,108,276.97,30.1,8.2,Wala,Wala,7862.4,4680,2272.2336,1352.52,6,19,10,5,1,1,1,994,852,1539
Cab024,Cabanatuan,Mabuhanging Burak,Tag-ulan,2019,9/5/2019,21/8/2019,PSB Rc82,4.23,355.32,78,60,4680.13,17.34,81153.44,104,317.18,24.5,6.8,Wala,Wala,21319.2,4680,6161.2488,1352.52,5,9,8,21,0,1,1,948,852,1500
Cab025,Cabanatuan,Banlik,Tag-ulan,2019,1/6/2019,25/9/2019,NSIC Rc402,2.36,198.24,60,60,3613.75,17.34,62662.44,116,316.2,27.2,7.9,Mababang Ani,Pagsusuri ng lupa at pagpapatupad ng mga bagong teknik,11894.4,3600,3437.4816,1040.4,6,1,9,25,1,1,1,994,852,1501
